Orthogroup	CDUBI_A	CDUBI_B	CDUBI_C	CGRAY_A	CGRAY_B	CGRAY_C	CHAMU_A	CHAMU_B	CHAMU_C	CNERT_A	CNERT_B	CNERT_C	CRUST_A	CRUST_B	CTENE_A	CTENE_B	CTENE_C	OINCO_A	OINCO_B	PHORS_A	PHORS_B	PLUCI_A	PLUCI_B	PPALL_A
OG0009881	32.74	68.01	39.31	83.96	71.18	32.48	4.86	4.04	7.79	0	9.19	0	60.92	71.93	20.77	63.06	57.45	21.53	11.85	24.63	5.2	NA	NA	NA
OG0009884	158.59	101.45	159.87	79.15	76.76	70.14	15.31	40.26	29.48	36.9	50.11	79.08	64.16	74.1	24.68	85.06	67.74	117.49	137.54	53.9	68.45	189.54	175.09	80.39
OG0009885	124.34	126.67	145.42	390.04	403.97	490.4	54.31	139.26	67.06	216.94	365.41	342.92	211.9	425.62	116.21	244.69	288.43	282.73	356.33	53.31	74.26	387.08	298.26	69.86
OG0009887	50.14	493.2	89	223.76	123.11	75.42	28.2	129.73	12.47	37	25.92	129.8	395.85	378.6	98.05	95.94	80.59	100.7	78.36	46.11	1836.93	64.54	80.57	55.5
OG0009891	7.04	6.33	4.35	11.32	12.21	11.82	1.46	1.57	2.42	12.88	17.87	1.5	2.87	10.78	1.51	3.31	4.8	10.64	5.76	0	17.66	4.8	10.15	13.2
OG0009892	488.84	416.51	667.26	307.88	270.63	310.45	43.43	102.09	44.67	285.72	462.86	404.9	250.92	406.85	116.94	276.06	289.85	260.77	239.03	91.64	161.22	240.13	209.07	211.47
OG0009893	23.36	49.22	71.9	14.45	20.33	37.33	8.33	23.84	7.76	0	0	51.06	1.98	52.77	8.2	38.63	51.45	54.47	50.57	28.06	49.85	51.19	46.61	25.77
OG0009895	12.32	12.01	19.65	6.59	11.18	4.6	4.38	6.25	5.13	14.97	27.33	25.04	4.96	15.51	10.08	21.1	28	42.01	21.48	37.49	89.52	35.18	46.8	55.36
OG0009899	5.16	6.06	5.28	6.64	14.13	5.32	2.45	1.14	5.42	1.4	2.55	11.99	15.41	16.8	3.31	1.27	1.27	6.79	2.8	10.82	13.15	0	16.54	22.43
OG0009901	5.55	7.58	8.14	12.69	12.38	18.87	3.26	5.95	3.52	6.25	9.05	11.05	6.34	12.62	5.12	9.41	12.28	12.03	8.53	5.8	1.29	5.74	12.69	20
OG0009903	161.01	173.47	152.75	110.81	123.62	178.87	27.03	52.76	30.17	154.23	216.45	221.55	58.53	119.13	51.9	112.3	141.21	194.39	190.14	170.85	235.11	322.75	255.37	246.1
OG0009904	45.02	42.43	43.21	22.74	19.6	14.62	4.26	10.11	3.91	13.19	24.91	49.45	11.25	29.36	15.82	27.32	26.73	22.62	24.23	27.12	41.23	22.41	19.05	40.7
OG0009905	16.07	27.35	34.4	33.76	55.15	29.69	2.81	4.38	5.8	12.03	19.86	27.51	13.86	56.09	8.17	19.96	24.08	24.36	15.75	45.18	42	11.5	33.54	1.85
OG0009909	3.83	4.38	7.28	18.53	28.35	19.31	5.43	7.59	6.62	18.53	24.32	36.79	3.07	28.4	6.13	17.79	16.46	41.77	17.88	43.88	29.76	8.76	33.36	44.48
OG0009910	5.37	6.45	8.03	12.72	11.72	23.89	1.74	4.1	1.77	0	0.94	0	2.47	21.45	0.98	1.61	4.03	9.29	3.61	8.65	13.87	3.86	8.71	11.73
OG0009911	3.62	3.97	4.98	6.01	5.81	4.21	3	5.38	1.56	2.9	4.84	8.61	3.28	7.77	3.37	4.22	5	7.17	5.13	5.64	8.58	3.49	6.31	10.55
OG0009912	4.17	4.85	5	1.46	3.64	0	2.36	3.72	6.96	0.52	0.8	0.56	1.07	3.69	0	0	0	12.25	9.52	7.29	9.35	6.02	9.09	17.18
OG0009913	2.86	2.46	2.03	11.86	23.91	17.27	0.91	0.36	1.64	6.53	9.91	19.89	1.59	24.65	6.16	10.79	11.72	27.6	15.84	25.37	24.54	6.67	23.82	30.09
OG0009916	30.73	36.75	39.96	15.66	19.29	18.64	6.06	14.01	4.13	15.69	21.26	21.92	16.87	21.83	11.73	16.41	22.99	36.84	45.69	26.21	32.13	24.07	43.86	39.64
OG0009917	20.8	23.15	29.8	0	27.84	0.49	6.82	8.25	7.66	12.53	19.36	22.28	17.59	40.09	14.28	22.1	22.21	36.16	20.55	17.88	36.46	10.98	29.29	26.4
OG0009918	502.54	392.75	503.09	181.38	137.85	200.93	23.42	53.84	34.09	203	356.19	203.89	262.4	242.17	107.97	192.86	261.56	290.87	339.3	167.7	201.87	303.74	101.93	231.75
OG0009919	9.84	6.08	8.52	4.18	9.15	7.46	2.25	4.97	4.58	2.79	6.27	7.79	1.13	7.4	4.08	12.92	12.47	14.23	9.51	5.05	9.86	1.11	1.26	3.71
OG0009925	0	7.04	1.94	5.88	9.29	9.77	3.92	7.05	5.93	3.85	10.99	9.08	8.2	15.96	9.01	10.28	10.25	28.2	26.21	25.83	17.19	15	15	23.01
OG0009927	14.34	14.53	17.6	13.18	13.8	13.2	4.29	14.22	11.38	11.47	19.22	18.87	9.83	8.72	7.73	12.19	21.59	15.99	22.21	15.74	18.78	7.6	11.41	13.86
OG0009929	277.23	513.69	547.56	488.59	395.45	595.63	19.18	45.7	27.89	152.96	259.78	252.5	409.78	496.76	176.71	258.85	362.45	244.84	289.06	148.95	230.94	340.92	183.1	210.79
OG0009931	4.7	4.22	9.66	5.51	8.18	6.13	2.43	2.75	3.23	2.65	2.08	7.51	3.62	12.9	3.21	5.03	5.19	18.89	14.86	10.67	11.61	4.71	9.28	14.09
OG0009937	27.52	4.63	21.89	14.29	16.85	15.05	3.77	8.2	3.8	7.07	14.76	12.6	12.83	38.91	0	0	0	18.03	12.11	1.56	5.08	11.87	21.52	42.02
OG0009938	363.99	375.19	526.77	280.66	229.78	371.82	48.43	75.77	71.18	225.86	403.08	259.02	286.5	318.79	129.97	315.81	404.01	NA	NA	70.16	115.72	399.82	163.5	185.35
OG0009939	21.42	12.19	25.76	26.28	35.33	25.52	4.21	0	5.76	5.49	14.41	29.53	9.87	20.97	9.4	13.67	18.67	4.53	1.83	49.2	39.03	22.24	45.36	25.76
OG0009940	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.73	12.13	NA	NA	NA
OG0009943	20.42	22.06	19.64	21.99	24.82	22.66	0	0	1.08	16.25	22.54	29.85	22.61	31.31	8.14	24.38	21.49	53.89	29.29	29.45	47.77	32.48	35.3	25.33
OG0009945	11.82	23.9	29.26	18.36	26.59	25.2	9.04	32.51	15.22	17.85	29	44.67	3.47	22.32	6.28	16.01	15.8	33.27	21.32	38.85	54.59	14.71	49.49	32.2
OG0009947	33.53	64.34	65.62	43.39	77	37.92	18.46	40.81	12.31	17.97	28.34	46.28	17.12	95.45	30.75	44.71	40.79	64.87	61.43	75.5	55.67	25.72	54.21	80.01
OG0009949	12.92	1.12	14.12	NA	NA	NA	1.97	0.8	6.64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.06	8.05	NA	NA	NA
OG0009952	11.52	22.57	19	0	0.68	0	3.64	10.22	2.64	3.17	2	3.82	1.47	13.19	2.73	6.64	4.13	12.08	12.57	7.84	23.52	0	8.26	33.44
OG0009953	15.58	0	11.15	0	0	0	NA	NA	NA	15.58	14.49	9.08	0	7.24	2.79	6.25	11.57	3.33	3.49	91.7	526.63	4.25	1007.05	33.6
OG0009956	7.86	2.74	22.26	35.56	91.25	28.29	0	0.73	0	0.25	4.78	28.1	18.99	78.89	0	24.98	42.73	45.95	18.47	68.99	37.13	58.19	78.29	21.24
OG0009957	490.76	2493.18	2151.02	685.38	986.01	920.45	235.52	1049.47	315.58	469.23	452.25	1147.45	324.03	696.42	552.2	906.11	1284.4	838.68	829.85	1275.82	1242.03	906.39	1608.46	1814.78
OG0009958	18.21	18.22	19.2	34.33	40.36	30.46	3.92	8.48	5.32	10.85	13.75	7.2	0	15.15	5.7	19.95	20.75	42.92	19.45	13.86	0	10.61	38.1	32.32
OG0009959	9.24	4.94	9.23	3.09	9.13	2.33	3.62	3.31	3.66	3.99	6.26	13.35	0.93	6.2	3.8	11	5.15	25.27	9.33	0	0	0	1.92	13.72
OG0009960	13.99	2.18	9.28	45	51.34	43.74	5.11	2.92	3.81	2.36	7.97	9.56	13.98	3.21	7.64	6.45	15.6	9.33	8.58	24.27	24.3	3.6	15.25	22.8
OG0009961	20.04	13.85	14.66	8.63	27.13	15.52	2.85	6.52	4.77	12.26	14.73	22.74	0	1.59	2.97	2.95	2.81	22.28	9.79	1.47	15.28	1.17	3.29	1.94
OG0009962	5.41	7.34	9.49	5.08	6.27	14.25	2.69	4.19	6.27	0.97	0	0	2.16	12.27	15.35	38.65	49.66	1.8	0.73	3.39	10.21	6.4	8.17	18.72
OG0009965	2.53	10.02	6.33	1.91	12.28	12.37	1.69	6.09	4.04	0	0	6.79	3.37	14.94	2.48	2.79	2.93	9.18	8.29	6.96	10.4	4.22	10.23	16.55
OG0009967	6.61	14.53	13.28	15	9.04	10.75	6.32	10.85	2.95	9.7	9.36	7.77	2.08	12.37	11.13	18.9	19.35	10.41	24.02	26.99	46.88	7.56	33.39	67.44
OG0009968	0	0	12.43	NA	NA	NA	3.25	3.9	8.15	9.87	10.88	24.14	24.04	12.64	NA	NA	NA	NA	NA	0	1.67	5.91	42.02	NA
OG0009971	20.49	8.94	13.94	15.34	17.16	10.58	2.88	7.35	5.02	15.02	16.18	29.87	27.65	36.18	6	15.14	16.83	11.08	8.67	21.72	31.25	11.65	28.5	15.2
OG0009972	30.55	4.57	14.99	12.2	21.33	8.1	1.79	0	6.2	6.36	19.88	42.71	3.79	24.4	6.1	27.04	32.2	15.19	9.55	68.34	41.83	9.97	38.92	39.95
OG0009973	36.45	25.36	33.97	20.91	29.98	13.88	3.07	5.74	8.85	30.32	34.99	76.63	56.57	24.93	18.84	74.77	67.21	12.72	3.54	73.28	53.89	8.48	49.65	51.16
OG0009974	15.25	6.2	18.29	10.55	10.56	5.66	1.71	0	6.87	9.41	27.19	41.48	7.59	42.81	11.41	31.02	28	31.62	0.52	41.75	37.65	23.46	33.58	40.55
OG0009975	0	0	2.85	9.76	12	11.86	3.4	6.89	4.04	0.79	0.93	0	5.43	15.73	5.66	9.94	8.31	25.31	10.1	15.7	18.99	8.13	17.11	20.22
OG0009976	124.42	209.87	223.07	85.15	114.78	147.97	17.7	47.46	42.11	103.97	148.77	173.09	104.32	171.43	64.52	120.43	151.16	0.92	2.95	172.95	232.59	207.87	207.11	186.39
OG0009977	192.72	188.36	174.28	264.13	205.58	170.52	41.5	106.21	46.67	134.8	186.56	150.73	124.12	260.7	67.26	111.1	136.17	94.43	101.86	136.87	119.01	172.77	0	238.82
