Orthogroup	CDUBI_A	CDUBI_B	CDUBI_C	CGRAY_A	CGRAY_B	CGRAY_C	CHAMU_A	CHAMU_B	CHAMU_C	CNERT_A	CNERT_B	CNERT_C	CRUST_A	CRUST_B	CTENE_A	CTENE_B	CTENE_C	OINCO_A	OINCO_B	PHORS_A	PHORS_B	PLUCI_A	PLUCI_B	PPALL_A
OG0009679	31.06	30.08	22.95	24.54	22.64	18.35	1.9	4.05	5.8	5.1	11.93	20.15	4.38	9.92	4.55	18.79	24.04	24.16	13.25	6.22	17.98	0	2.84	19.46
OG0009682	13.79	24.55	19.5	34.34	26.45	74.69	3.49	6.62	5.01	20.09	29.9	27.72	6.68	39.7	14.18	28.64	35.76	19.56	13.89	24.23	57.74	19.91	37	47.98
OG0009683	16.36	35.74	27.07	50.96	53.81	65.31	4.92	10.7	5.75	18.82	29.67	28.95	4.32	20.86	7.43	17.41	18.07	49.57	30.82	19.24	26.68	13.81	26.93	24.65
OG0009686	15.76	18.88	16.86	9.93	14.86	9.71	0.83	1.47	0.41	4.85	4.81	8.71	2.24	14.77	2.9	8.7	8.46	18.39	12.3	12.34	17.71	6.88	13.8	30.18
OG0009687	79.14	95.35	123.34	143.52	161.15	115.54	10.63	15.23	3.92	39.36	54.88	98.35	20.2	116.25	38.74	83.64	103.36	142.97	71.19	88.28	119.35	52.34	112.95	78.55
OG0009694	106.73	275.86	180.16	234.05	210.01	317.47	15.41	32.69	19.83	89.19	128.93	116.11	22.62	120.02	45.54	70.42	82.96	87.02	137.63	53.38	97.13	167.94	135.77	76.69
OG0009695	9.78	27.52	13.23	31.17	45.66	208.96	2.69	4.34	1.2	58.77	76.05	63.85	3.41	18.35	5.1	9.24	9.47	42.78	24.53	13.72	66.75	6.81	24.52	9.33
OG0009697	20.1	22.82	20.65	21.9	20.76	22.38	3.54	3.19	4.84	9.54	10.74	14.32	3.09	16.49	0	0	0.69	27.06	17.56	11.56	20.31	24.04	20.49	18.36
OG0009698	19.25	20.95	23.67	13.22	15.44	0	1.7	1.47	2.03	2.19	4.03	11.48	6.97	29.49	2.84	16.45	22.97	19.43	10.27	10.53	12.48	19.57	54.95	45.5
OG0009699	13.29	13.52	11.1	11.8	14.12	12.59	0.99	3.24	1.22	1.57	3.19	3.27	12.84	17.86	7.87	9.71	10.35	16.69	10.75	10.63	0	7.34	14.43	17.34
OG0009704	423.03	294.12	268.44	259.78	199.47	325.32	25.01	54.11	35.68	203.79	262.44	238.11	165.91	263.92	90.46	162.86	239.22	190.58	211.81	151.48	257.63	212.82	387.66	283.75
OG0009705	2.97	0	2.94	7.15	17.34	4.32	2.68	0.82	2.72	0	0	1.56	0.91	18.17	0.17	0.84	0.96	10.8	4.3	15.3	16.2	0.24	2.25	2.3
OG0009707	111.42	161.36	150.26	13	14.32	16.86	5.71	14.4	8.29	26.05	49.25	33.14	5.88	26.58	23.47	45.09	68.82	97.94	93.1	51.12	111.35	172.63	104.45	75.99
OG0009709	68.86	170.49	176.57	65.7	139.48	81.09	9.25	24.17	15.57	13.88	29.22	99.31	10.91	99.66	24.56	58.48	52.16	75.6	49.55	128.12	99.8	29.37	99.16	71.88
OG0009711	7.93	7.11	9.14	28.82	27.86	26.45	1.33	2.33	1.42	3.79	9.6	12.35	3.58	13.53	4.71	10.44	10.68	17.34	8.04	4.56	18.04	5.92	10.53	10.19
OG0009713	20.94	41.19	45.13	28.77	57.17	45.13	6.5	17.5	40.58	11	17.16	16.8	5.12	95.82	62.4	132.21	187.23	127.39	124.03	62.67	81.3	64.39	120.89	108.56
OG0009714	4.83	20.78	22.29	41.58	45.34	34.02	2.68	3.98	9.58	11.17	15.42	24.47	1.31	15.44	11.36	52.13	59.74	70.97	59.06	13.86	34.01	9.89	17.59	19.18
OG0009717	45.5	163.37	144.67	70.77	108.42	117.74	33.86	146.63	40.98	21.19	18.5	56.26	25.72	183.67	77.85	113.99	123.22	181.17	195.79	177.02	315.51	147.6	332.32	316.81
OG0009718	13041.61	7254.61	7692.85	10115.98	9620	4781.55	8.97	0.17	8.64	2.4	4.34	31.25	4195.47	12284.78	22.56	28.19	32.84	43.87	6.42	25.39	22.81	58.5	1570.67	600.63
OG0009719	13.94	34.92	22.16	26.39	48.52	43.93	4.95	20.11	6.73	15.68	19.93	35.28	2.3	22.85	1.79	9.35	7.06	48.53	27.07	25.86	56.08	12.41	47.64	25.06
OG0009720	19.91	74.09	41.67	92.64	40.63	61.48	12.59	73.07	17.91	15.65	34.1	37.27	22.06	14.53	7.6	18.22	52.66	25.61	32.11	11.32	9.86	18.4	15.63	48.25
OG0009724	0.42	2.31	0.56	23.04	48.47	29.61	7.76	6.34	10.48	7.39	12.25	36.06	0	20.8	0.38	0.97	1.07	1.08	0.25	1.64	0	32.07	35.27	34.72
OG0009725	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.12	0.91	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OG0009731	1.16	2.3	3.24	25.55	39.43	52.19	6.39	16.11	7.4	18.71	30.25	44.9	4.85	67.97	3.4	11.28	16.31	50.78	35.01	35.51	58.71	1.36	0.87	21.97
OG0009733	73.87	101.62	109.99	43.42	71.19	72.4	10.82	32.36	11.71	30.74	56.58	88.92	21.1	110.33	26.79	52.2	62.06	110.24	103.81	76.48	119.69	83.84	147.46	108.95
OG0009734	0	1.03	0.83	20.17	11.77	9.27	1.44	1.37	2.59	0	0	1.97	2.45	10.73	1.78	11.15	12.21	24.69	16.4	8.32	18.86	1.79	0	15.07
OG0009735	7.93	0	0	21.99	33.16	9.76	1	1.03	1.63	0.23	0	9.05	0.83	13.05	2.28	6.54	2.74	4.11	2.23	13.44	15.33	0	7.45	21.37
OG0009738	130.32	358.72	316.38	144.85	186.26	235.48	8.61	26.86	12.26	71.11	105.07	118.01	27.89	136.81	45.53	92	120.12	103.59	114.44	35.84	91.12	154.09	102.82	102.2
OG0009739	51.71	98.67	96.24	61.78	98.07	125.94	10.47	32.11	15.82	57.85	90.3	106.83	14.68	77.68	20.62	51.11	63.48	121.95	125.04	72.97	97.5	131.06	158.04	90.47
OG0009741	5.25	43.38	13.51	34.05	36.75	24	7.7	24.09	7.21	19.13	35.27	38.88	17.23	47.48	17.2	26.49	33.23	52.95	60.26	41.94	60.88	20.97	44.43	74.66
OG0009742	5.91	2.18	89.28	8.86	14.27	14.16	8.73	39.74	14.87	31.04	21.99	60.09	8.21	37.64	4.33	5.34	6.42	106.14	205.51	0	0	0	0	34.7
OG0009743	8.07	20.96	22.04	20.04	35.81	17.19	2.59	4.15	3.41	3.43	5.72	19.61	3.31	20.44	5.76	11.38	11.29	21.76	18.17	17.89	22.57	8.92	18.68	19.03
OG0009744	NA	NA	NA	NA	NA	NA	1.2	2.82	0.54	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OG0009748	133.43	139.26	123.17	145.95	133.73	183.82	7.38	27.99	10.27	31.85	69.23	71.78	32.4	68.59	24.12	68.77	97.63	79.7	116.57	56.96	87.59	76.09	51.96	41.73
OG0009749	10.95	25.94	27.36	37.09	42	230.26	5.56	19.87	7.04	135.04	157.83	38.71	0.06	20.06	9.36	24.02	46.61	45	47.04	12.74	10.46	36.36	21.71	24.97
OG0009750	6.16	7.82	10.61	9.64	13.38	16.33	1.39	2.72	1.46	6.81	7.22	9.56	1.04	9.97	2.32	5.91	8.07	17.12	15.33	10.26	21.71	5.04	12.61	15.17
OG0009751	28.89	9.9	30.94	11.11	23.44	13.12	0.08	0	0	0	0	6.51	5.46	22.99	7.38	18.33	21.09	35.92	9.43	27.54	16.12	0	23.92	21.42
OG0009752	79.5	3.91	86.3	112.42	136.26	41.85	NA	NA	NA	0.23	3.16	21.31	51	121.72	32.94	39.23	33.27	93.24	23.74	72.35	59.04	35.69	3.17	144.8
OG0009757	2.75	11.5	9.67	33.18	32.11	28.81	1.64	6.01	6.24	2.64	2.18	7.99	2.1	5.41	2.72	2.77	2.62	0.46	0.51	11.06	9.11	72.65	19.86	24.9
OG0009758	364.3	711.99	721.95	241.38	194.87	100.02	65.03	161.26	85.52	52.67	64.12	116.87	0	140.27	277.98	528.94	789.15	243.36	463.38	240.14	269.03	0	0.26	832.96
OG0009761	81.42	153.47	127.16	53.83	77.24	81.12	8.94	16.5	10.16	21.01	29.53	66.54	3.49	21.24	11.55	24.54	29.5	41.3	23.45	65.92	83.8	39.46	56.35	44.16
OG0009763	5.68	0	0	8.03	9.08	6.02	1.89	0	0	0	0	0	2.91	8.46	4.05	9.59	10.17	15.09	10.27	9.61	15.18	6.38	11.93	15.29
OG0009765	126.64	108.1	71.66	60.73	53.13	73.31	5.25	17.58	5.23	12.16	15.93	16.91	21.76	38.14	18.93	19.89	25.45	34.01	36.05	20.06	23.62	52.57	15.23	25.4
OG0009766	232.17	194.05	228.08	175.42	158.22	239.58	15.66	36.16	22.49	88.51	161.39	148.65	66.17	178.25	70.66	151.87	192.26	208.72	250.24	90.57	191.99	141.75	63.15	132.31
OG0009769	44.74	80.1	89.85	108.51	116.48	156.75	8.19	36.49	8.87	50.7	84.35	115.84	15.4	73.68	26.29	60.98	71.15	93.22	110.55	60.46	97.56	87.68	51.82	68.63
OG0009770	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.67	10.71	NA	NA	NA	NA	NA	NA	NA	0.83	2.19	NA
OG0009771	20.18	12.98	22.21	28.39	21.96	10.57	2.04	1.58	0	0	5.45	0	0.07	0	8.82	10.29	11.06	19.43	8.56	14.76	39.45	2.2	21.8	3.96
OG0009775	63.63	49.54	30.95	4.63	22.2	23.93	1.84	4.96	2.07	12.55	17.91	27.82	0	10.22	0.4	3.92	6.61	23.23	0	27.22	27.71	65.24	26.16	21.32
OG0009776	143.01	271.42	256.43	135.06	191.26	229.19	14.24	28.95	15.57	41.15	83.93	101.05	18.46	159.25	38.64	55.29	75.34	165.2	157.49	138.78	226.3	111.22	185.73	170.67
OG0009778	4.69	4.79	5.5	5.33	5.24	1.09	0.2	3.04	0.48	1.78	3.17	10.11	3.7	5.6	0.86	5.84	5.82	10.32	6.66	NA	NA	5.07	6.44	19.33
OG0009781	3.43	17.17	19.45	28.63	20.21	23.85	1.24	0	4.06	0.7	7.65	9.54	6.86	4.86	7.21	20.27	25.93	51.75	26.03	18.98	13.76	59.97	27.3	31.94
OG0009784	32.82	46.69	43.6	43.41	45.07	47.61	5.87	11.98	5.47	20.96	27.25	42.02	9.13	39.37	10.5	20.14	20.68	53.58	36.76	21.26	39.83	23.86	21.01	26.78
OG0009786	18.53	10.35	19.79	15.66	19.24	28.13	8.58	21.54	4.44	26.31	45.88	64.86	53.42	78.09	2.86	0.63	6.01	12.14	10.74	118.9	152.48	124.14	155.63	178.79
OG0009788	3.29	9.21	18.5	7.62	1.67	9.34	6.67	17.05	3.3	1.63	7.9	3.98	5.25	36.83	11.29	45.84	73.16	8.63	3.34	42.12	46.13	94.19	49.28	40.88
OG0009789	69.8	78.45	76.79	77.64	86.08	122.72	11.88	33.97	19.3	22.88	28.15	38.74	19.15	55.53	16.95	26.66	27.33	66.95	52.74	33.49	29.9	28.95	36.02	34.55
OG0009790	102.36	274.9	183.47	104.84	112.25	137.44	14.79	40.45	15.01	97.86	137.18	138.33	12.42	59.03	36.46	60.46	80.93	160.96	184.07	101.8	161.93	212.44	144.71	145.7
OG0009791	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.61
OG0009792	9.22	6.83	9.18	0.83	7.01	0.84	0.52	0	0.49	1.87	2.38	2.41	2.59	0	0	0.34	0	0.44	0.34	9.74	11.33	0	8.01	0
OG0009795	29.77	207.86	223.62	133.45	125.15	164.09	7.9	1	18.57	2.19	26.65	21.12	13.7	62.9	29.41	94.34	87.98	420.55	168.96	31.61	41.58	123.86	78.32	57.18
OG0009796	1.79	21.71	24.96	43.84	52.72	84.22	3.32	0	11.36	1.15	6.2	6.27	3.91	10.96	1.04	24.06	35.69	243.8	123.67	22.77	17.63	198.62	50.26	22.52
OG0009797	12.66	123.33	121.8	34.27	33.52	26.87	3.05	1.51	8.3	4.46	13.98	16.27	5.05	29.86	6.94	42.61	69.75	30.76	42.55	76.22	44.46	58.91	116.84	102.31
OG0009798	12.93	22.62	13.01	35.53	43.54	26.07	1.45	2.97	1.71	0.54	0	0.03	1.56	14.99	4.43	9.58	9.21	18.19	13.72	25.15	30.28	7.65	23.36	26.21
OG0009800	2.84	0	0.41	0	1.68	1.64	1.31	0	0	5.59	9.25	18.01	0	4.64	3.24	6.42	7.44	20.64	9.69	15.23	23.11	7.73	26.46	20.79
OG0009801	94.15	153.68	165.94	89.9	99.58	159.48	10.14	20.06	14.25	3.06	5.65	6.86	18.77	99.54	23	56.07	82.36	8.81	14.37	0	9.56	35.68	14.4	82.24
OG0009802	95.61	160.73	186.63	114.96	120.14	171.81	11.21	30.95	9.92	53.33	79.27	90.94	24.74	117.84	39.35	70.83	93.3	93.99	111.38	54.99	88.52	60.03	84.07	85.84
OG0009804	53.96	87.3	97.52	49.59	60.73	78.54	8.62	21.23	7.49	32.67	44.04	61.47	7.48	55.49	12.72	23.91	31.17	89.08	91.58	67.23	102.14	77.99	54.51	63.26
OG0009808	23.47	6.6	22.56	22.57	32.28	17.18	2.06	1.97	3.31	0.14	0.62	1.87	4.05	19.54	1.51	3.57	3.62	32.08	9.81	14.26	1.51	4.9	9.07	6.89
OG0009810	3.43	5.29	3.9	6.8	5.71	4.95	0.74	0.55	0.82	1.26	0.69	3.07	1.02	3.63	1.04	2.4	5.02	1.51	1.22	0	6.1	3.77	4.89	3.86
OG0009812	37.14	58.05	59.88	42.59	59.77	50.48	8.78	14.55	9.03	19.97	39.7	57.13	8.07	41.3	15.2	28.68	29.95	88.83	54.21	52.38	87.6	33.59	45.62	55.13
