Orthogroup	CDUBI_A	CDUBI_B	CDUBI_C	CGRAY_A	CGRAY_B	CGRAY_C	CHAMU_A	CHAMU_B	CHAMU_C	CNERT_A	CNERT_B	CNERT_C	CRUST_A	CRUST_B	CTENE_A	CTENE_B	CTENE_C	OINCO_A	OINCO_B	PHORS_A	PHORS_B	PLUCI_A	PLUCI_B	PPALL_A
OG0009870	9.02	8.33	5.99	5.57	8.89	4.06	1.04	2.04	1.33	3.25	2.41	7	3.91	9.03	2.18	6.38	5.01	17.02	8.16	5.23	17.97	2.83	7.37	10.15
OG0009873	12.92	7.35	12.22	17.79	18.37	12.17	1.06	1.75	4.37	5.98	11.93	13.31	3.18	18.64	13.2	58.86	76.14	60.47	32.7	5.36	21.78	0	9.8	12.17
OG0009875	10.58	14.85	8.94	28.49	34.51	23.37	1.53	1.2	1.8	2.89	4.88	12.2	0.94	9.11	2.16	5.47	6	9.51	2.39	11.53	15.93	4.37	12.72	10.72
OG0009880	47.27	33.02	58.38	61.68	46.55	15.05	3.64	16.96	2.79	6.27	20.28	43.44	7.74	14.64	9.64	40.51	54.43	12.7	9.21	0.55	0.19	117.98	25.03	26.04
OG0009881	19.68	48.34	25	64.68	55.93	26.2	1.9	1.67	2.96	0	4.4	0	13.49	41.35	9.85	31.38	29.38	12.9	6.74	12.41	3.02	NA	NA	NA
OG0009884	95.3	72.12	101.67	60.98	60.32	56.58	5.99	16.59	11.19	17.8	23.99	41	14.21	42.59	11.71	42.34	34.64	70.37	78.17	27.17	39.71	106.47	103.51	42.15
OG0009885	74.72	90.04	92.48	300.47	317.46	395.59	21.26	57.38	25.44	104.64	174.9	177.78	46.92	244.65	55.13	121.78	147.49	169.35	202.52	26.87	43.08	217.44	176.33	36.63
OG0009887	30.13	350.58	56.6	172.38	96.74	60.84	11.04	53.45	4.73	17.84	12.41	67.29	87.66	217.62	46.51	47.75	41.21	60.32	44.53	23.24	1065.55	36.26	47.63	29.1
OG0009891	4.23	4.5	2.77	8.72	9.6	9.54	0.57	0.65	0.92	6.21	8.55	0.78	0.63	6.2	0.71	1.65	2.46	6.37	3.28	0	10.25	2.69	6	6.92
OG0009892	293.76	296.07	424.37	237.18	212.67	250.43	17	42.06	16.95	137.81	221.54	209.91	55.56	233.86	55.47	137.39	148.21	156.19	135.85	46.19	93.52	134.89	123.6	110.88
OG0009893	14.04	34.99	45.73	11.13	15.98	30.11	3.26	9.82	2.95	0	0	26.47	0.44	30.33	3.89	19.23	26.31	32.62	28.74	14.14	28.92	28.75	27.56	13.51
OG0009895	7.41	8.54	12.5	5.08	8.78	3.71	1.71	2.57	1.95	7.22	13.08	12.98	1.1	8.91	4.78	10.5	14.32	25.16	12.21	18.9	51.93	19.76	27.67	29.03
OG0009899	3.1	4.3	3.36	5.11	11.11	4.29	0.96	0.47	2.06	0.67	1.22	6.21	3.41	9.66	1.57	0.63	0.65	4.07	1.59	5.45	7.63	0	9.78	11.76
OG0009901	3.34	5.39	5.18	9.77	9.73	15.22	1.28	2.45	1.34	3.02	4.33	5.73	1.4	7.25	2.43	4.68	6.28	7.21	4.85	2.92	0.75	3.23	7.5	10.49
OG0009903	96.76	123.3	97.15	85.36	97.14	144.29	10.58	21.74	11.45	74.39	103.6	114.85	12.96	68.48	24.62	55.89	72.21	116.43	108.06	86.11	136.38	181.31	150.97	129.04
OG0009904	27.05	30.16	27.48	17.52	15.4	11.79	1.67	4.17	1.48	6.36	11.92	25.63	2.49	16.87	7.5	13.6	13.67	13.55	13.77	13.67	23.92	12.59	11.26	21.34
OG0009905	9.66	19.44	21.88	26.01	43.34	23.95	1.1	1.8	2.2	5.8	9.5	14.26	3.07	32.24	3.87	9.93	12.31	14.59	8.95	22.77	24.36	6.46	19.83	0.97
OG0009909	2.3	3.12	4.63	14.27	22.28	15.58	2.12	3.13	2.51	8.94	11.64	19.07	0.68	16.32	2.91	8.85	8.41	25.02	10.16	22.12	17.26	4.92	19.72	23.32
OG0009910	3.23	4.59	5.1	9.8	9.21	19.27	0.68	1.69	0.67	0	0.45	0	0.55	12.33	0.47	0.8	2.06	5.56	2.05	4.36	8.05	2.17	5.15	6.15
OG0009911	2.17	2.82	3.17	4.63	4.57	3.4	1.17	2.22	0.59	1.4	2.32	4.46	0.73	4.47	1.6	2.1	2.56	4.3	2.91	2.84	4.98	1.96	3.73	5.53
OG0009912	2.51	3.44	3.18	1.13	2.86	0	0.92	1.53	2.64	0.25	0.38	0.29	0.24	2.12	0	0	0	7.34	5.41	3.67	5.42	3.38	5.38	9.01
OG0009913	1.72	1.75	1.29	9.14	18.79	13.93	0.36	0.15	0.62	3.15	4.74	10.31	0.35	14.17	2.92	5.37	5.99	16.53	9	12.78	14.24	3.75	14.08	15.78
OG0009916	18.46	26.12	25.41	12.07	15.16	15.03	2.37	5.77	1.57	7.57	10.17	11.36	3.74	12.55	5.56	8.17	11.76	22.07	25.97	13.21	18.64	13.52	25.93	20.79
OG0009917	12.5	16.46	18.95	0	21.88	0.39	2.67	3.4	2.91	6.04	9.27	11.55	3.9	23.04	6.77	11	11.36	21.66	11.68	9.01	21.15	6.17	17.32	13.84
OG0009918	302	279.17	319.96	139.73	108.32	162.08	9.17	22.18	12.94	97.91	170.48	105.7	58.11	139.2	51.22	95.99	133.75	174.22	192.84	84.52	117.1	170.63	60.26	121.51
OG0009919	5.92	4.32	5.42	3.22	7.19	6.02	0.88	2.05	1.74	1.35	3	4.04	0.25	4.25	1.93	6.43	6.38	8.52	5.4	2.54	5.72	0.63	0.75	1.95
OG0009925	0	5.01	1.23	4.53	7.3	7.88	1.53	2.91	2.25	1.86	5.26	4.71	1.82	9.18	4.27	5.12	5.24	16.89	14.89	13.02	9.97	8.43	8.87	12.06
OG0009927	8.62	10.33	11.2	10.15	10.85	10.64	1.68	5.86	4.32	5.53	9.2	9.78	2.18	5.01	3.67	6.06	11.04	9.58	12.62	7.93	10.89	4.27	6.74	7.27
OG0009929	166.6	365.14	348.24	376.39	310.76	480.47	7.51	18.83	10.58	73.78	124.34	130.9	90.74	285.53	83.83	128.83	185.34	146.66	164.29	75.07	133.96	191.52	108.25	110.52
OG0009931	2.83	3	6.15	4.24	6.42	4.95	0.95	1.13	1.23	1.28	1	3.9	0.8	7.41	1.52	2.5	2.65	11.31	8.45	5.38	6.73	2.65	5.49	7.39
OG0009937	16.54	3.29	13.92	11.01	13.24	12.14	1.47	3.38	1.44	3.41	7.07	6.53	2.84	22.36	0	0	0	10.8	6.88	0.79	2.95	6.67	12.72	22.03
OG0009938	218.74	266.69	335.02	216.21	180.57	299.93	18.96	31.22	27.01	108.94	192.93	134.28	63.44	183.24	61.66	157.18	206.59	NA	NA	35.36	67.12	224.6	96.66	97.18
OG0009939	12.87	8.66	16.38	20.24	27.76	20.58	1.65	0	2.19	2.65	6.9	15.31	2.19	12.05	4.46	6.8	9.55	2.71	1.04	24.8	22.64	12.5	26.82	13.5
OG0009940	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.93	7.04	NA	NA	NA
OG0009943	12.27	15.68	12.49	16.94	19.5	18.28	0	0	0.41	7.84	10.79	15.48	5.01	18	3.86	12.13	10.99	32.28	16.65	14.84	27.71	18.25	20.87	13.28
OG0009945	7.11	16.99	18.61	14.15	20.9	20.33	3.54	13.4	5.77	8.61	13.88	23.16	0.77	12.83	2.98	7.97	8.08	19.93	12.12	19.58	31.67	8.26	29.25	16.88
OG0009947	20.15	45.73	41.73	33.43	60.51	30.59	7.23	16.82	4.67	8.67	13.57	23.99	3.79	54.86	14.59	22.25	20.86	38.86	34.91	38.05	32.29	14.45	32.05	41.95
OG0009949	7.77	0.8	8.98	NA	NA	NA	0.77	0.33	2.52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.58	4.67	NA	NA	NA
OG0009952	6.92	16.04	12.08	0	0.54	0	1.42	4.21	1	1.53	0.96	1.98	0.33	7.58	1.29	3.31	2.11	7.23	7.14	3.95	13.64	0	4.88	17.53
OG0009953	9.36	0	7.09	0	0	0	NA	NA	NA	7.51	6.93	4.71	0	4.16	1.32	3.11	5.91	1.99	1.98	46.22	305.48	2.39	595.35	17.62
OG0009956	4.72	1.95	14.16	27.39	71.71	22.82	0	0.3	0	0.12	2.29	14.57	4.2	45.34	0	12.43	21.85	27.52	10.5	34.77	21.54	32.69	46.28	11.14
OG0009957	294.92	1772.2	1368.03	527.99	774.84	742.5	92.21	432.41	119.74	226.32	216.46	594.86	71.75	400.3	261.95	450.97	656.78	502.35	471.64	643.03	720.47	509.17	950.89	951.55
OG0009958	10.94	12.95	12.21	26.45	31.72	24.57	1.53	3.49	2.02	5.23	6.58	3.73	0	8.71	2.7	9.93	10.61	25.71	11.06	6.98	0	5.96	22.52	16.94
OG0009959	5.55	3.51	5.87	2.38	7.17	1.88	1.42	1.36	1.39	1.93	3	6.92	0.21	3.56	1.8	5.47	2.63	15.14	5.31	0	0	0	1.13	7.19
OG0009960	8.41	1.55	5.9	34.67	40.34	35.29	2	1.2	1.44	1.14	3.81	4.95	3.09	1.84	3.63	3.21	7.98	5.59	4.88	12.23	14.1	2.02	9.02	11.96
OG0009961	12.04	9.84	9.32	6.65	21.32	12.52	1.12	2.69	1.81	5.91	7.05	11.79	0	0.92	1.41	1.47	1.43	13.34	5.56	0.74	8.87	0.66	1.94	1.02
OG0009962	3.25	5.22	6.03	3.91	4.93	11.5	1.06	1.73	2.38	0.47	0	0	0.48	7.05	7.28	19.23	25.39	1.08	0.41	1.71	5.92	3.6	4.83	9.82
OG0009965	1.52	7.12	4.03	1.47	9.65	9.97	0.66	2.51	1.53	0	0	3.52	0.75	8.59	1.18	1.39	1.5	5.5	4.71	3.51	6.03	2.37	6.05	8.68
OG0009967	3.97	10.33	8.45	11.55	7.11	8.67	2.47	4.47	1.12	4.68	4.48	4.03	0.46	7.11	5.28	9.41	9.89	6.24	13.65	13.61	27.19	4.25	19.74	35.36
OG0009968	0	0	7.9	NA	NA	NA	1.27	1.61	3.09	4.76	5.21	12.51	5.32	7.26	NA	NA	NA	NA	NA	0	0.97	3.32	24.84	NA
OG0009971	12.31	6.36	8.87	11.82	13.49	8.54	1.13	3.03	1.9	7.25	7.74	15.49	6.12	20.79	2.85	7.54	8.61	6.64	4.93	10.95	18.13	6.54	16.85	7.97
OG0009972	18.36	3.25	9.53	9.39	16.76	6.53	0.7	0	2.35	3.07	9.51	22.14	0.84	14.03	2.9	13.46	16.47	9.1	5.43	34.44	24.26	5.6	23.01	20.94
OG0009973	21.9	18.02	21.61	16.11	23.56	11.2	1.2	2.36	3.36	14.62	16.75	39.73	12.53	14.33	8.94	37.21	34.37	7.62	2.01	36.93	31.26	4.76	29.35	26.82
OG0009974	9.17	4.41	11.63	8.13	8.3	4.57	0.67	0	2.61	4.54	13.01	21.51	1.68	24.61	5.41	15.44	14.32	18.94	0.3	21.04	21.84	13.18	19.85	21.26
OG0009975	0	0	1.82	7.52	9.43	9.57	1.33	2.84	1.53	0.38	0.44	0	1.2	9.04	2.69	4.94	4.25	15.16	5.74	7.91	11.02	4.57	10.12	10.6
OG0009976	74.77	149.18	141.87	65.6	90.2	119.36	6.93	19.56	15.98	50.15	71.2	89.73	23.1	98.54	30.61	59.94	77.3	0.55	1.68	87.17	134.92	116.77	122.44	97.73
OG0009977	115.81	133.89	110.84	203.47	161.55	137.55	16.25	43.76	17.71	65.02	89.3	78.14	27.48	149.85	31.91	55.3	69.63	56.56	57.89	68.98	69.03	97.05	0	125.22
